# CYCLES.tsv — mapa cykli research/ (generowane: tooling/build_cycles_index.py)
# wygenerowano: 2026-09-14 | cykli: 265
# status: wip=w ruchu | locked=LOCK bez realizacji | paused=zamrozony | parking=pomysl | closed=zamkniety | legacy=generacja sprzed 2026-05
# realny WIP jest w STATE.md §Active WIP — to jest indeks, nie zrodlo prawdy o priorytetach
slug	status	data	faza	werdykt	tytul
op-MAG-Phase5-V-reference-clarification-2026-05-09	closed	2026-05-09	Phase 1	AUDIT_LIGHTWEIGHT_CLARIFICATION	op-MAG-Phase5-V-reference-clarification — explicit clarification V_orig (DEPRECATED) cytowane w Phase 5 MAG
op-MAG-anomalous-moment-2026-05-09	closed	2026-05-09	Phase1_quickscan	EARLY_HALT_HONEST	op-MAG-anomalous-moment — α/π z phase amplification at topology connection boundary
op-MAG-resonance-formalization-2026-05-09	closed	2026-05-09	Phase6_close	STRUCTURAL_DERIVED_CONDITIONAL	op-MAG-resonance-formalization — magnetyzm jako δΦ-resonance, unifikacja z pędem
op-Phase5-MAG-erratum-2026-05-09	closed	2026-05-09	Phase 1	ERRATUM_LIGHTWEIGHT	op-Phase5-MAG-erratum — fix internal inconsistency w Phase 5 gamma identification
op-Phi-vacuum-scale-2026-05-09	closed	2026-05-09	FINAL	STRUCTURAL_DERIVED_CONDITIONAL_HALT	op-Phi-vacuum-scale — derivation Φ_0 z first principles + UV/IR normalization reconciliation
op-Phi0-spatial-variation-predictions-2026-05-09	closed	2026-05-09	Phase 1	TESTABLE_PREDICTIONS	op-Phi0-spatial-variation-predictions — testable predictions Hipoteza B/C (lokalna wariacja Φ_0_matter)
op-S07-alternative-f-psi-derivation-2026-05-09	closed	2026-05-09	FINAL	TGP_BLOCKER_RESOLUTION	op-S07-alternative-f-psi-derivation-2026-05-09 — alternative f(ψ) post-M9.1'' falsification
op-V-canonical-consistency-audit-2026-05-09	closed	2026-05-09	Phase 1	AUDIT_DOCUMENTATION_CYCLE	op-V-canonical-consistency-audit — audit V_orig (DEPRECATED) vs V_M9.1'' (canonical) we wszystkich cyklach TGP
op-c0-derivation-from-substrate-2026-05-09	closed	2026-05-09	FINAL	NUMERICAL_PINNING_CYCLE → SUPERSEDED (#37, 2026-06-22)	op-c0-derivation-from-substrate-2026-05-09 — pierwsza-zasadowa derywacja c_0 σ-coupling
op-dual-V-structure-clarification-2026-05-09	closed	2026-05-09	Phase 1	STRUCTURAL_CLARIFICATION	op-dual-V-structure-clarification — formal verification dual-V hypothesis (V_M9.1'' gravity, V_orig matter)
op-emergent-metric-from-interaction-2026-05-09	closed	2026-05-09	FINAL	STRUCTURAL_DERIVED	op-emergent-metric-from-interaction — g_eff jako funkcjonał wielociałowej interakcji {Φ_i}, nie postulowane f…
op-h-TT-calibration-2026-05-09	closed	2026-05-09	FINAL	QUANTITATIVE_CALIBRATION_CYCLE → ADVERSARIAL_VERIFICATION_CYCLE	op-h-TT-calibration-2026-05-09 — quantitative h_TT^TGP/h_TT^GR ratio z linearized emergent-metric
op-kappa-sigma-2body-PN-2026-05-09	closed	2026-05-09	FINAL	NUMERICAL_DERIVATION_CYCLE	op-kappa-sigma-2body-PN-2026-05-09 — derivacja κ_σ(η) geometric factor
op-recovery-V-mPhi-parametric-analysis-2026-05-09	closed	2026-05-09	Phase 1	ARCHIVE — recovery V framework irrelevant dla typical LIGO sources under Branch A re-asserted via f…	op-recovery-V-mPhi-parametric-analysis-2026-05-09 — Recovery V parametric scan dla mechanism (iii) realization
op-scalar-mode-LIGO-bound-2026-05-09	closed	2026-05-09	FINAL	FALSIFIER_CHECK_CYCLE	op-scalar-mode-LIGO-bound-2026-05-09 — N14 R5 risk explicit (LIGO scalar polarization)
op-EFT-Phi0-multi-scale-2026-05-10	closed	2026-05-10	FINAL	Foundations §3.5.3 EFT scale-dep declaration → quantitative framework w one-loop expressions	op-EFT-Phi0-multi-scale-2026-05-10 — formal multi-scale EFT framework dla Φ_0 → γ
op-Q2-vacuum-budget-2026-05-10	closed	2026-05-10	FINAL	STRUCTURAL_DERIVED	op-Q2-vacuum-budget-2026-05-10 — explicit SM-vacuum vs substrate-vacuum decoupling for Λ
op-V-M911-psi-profile-near-degenerate-2026-05-10	closed	2026-05-10	FINAL	Pattern 2.5 BINDING-PRINCIPLE-CONFIRMED-ALGEBRAIC z PHYSICAL APPLICATION CONDITIONAL (extreme envir…	op-V-M911-psi-profile-near-degenerate-2026-05-10 — quantitative verification T2.A finding
op-foundations-3.5.3-extension-2026-05-10	closed	2026-05-10	FINAL	Foundations document successfully patched z Cycles 1+3 quantitative content	op-foundations-3.5.3-extension-2026-05-10 — foundations §3.5.3 + §3.5.6 update z Branch D
op-gamma-RG-running-derivation-2026-05-10	closed	2026-05-10	FINAL	GF.B-STRUCTURAL — Branch A re-asserted; parent Branch D dominance reversed via first-principles RG …	op-gamma-RG-running-derivation-2026-05-10 — first-principles γ_eff(μ) z H_Γ via RG flow
op-gamma-identification-first-principles-2026-05-10	closed	2026-05-10	FINAL	STRUCTURAL_AUDIT_DERIVED_VERDICT_GF_D	op-gamma-identification-first-principles-2026-05-10 — γ ~ M_Pl² LOCK audit + first-principles derivation
op-recovery-V-LIGO-regime-2026-05-10	closed	2026-05-10	Phase 0	D	op-recovery-V-LIGO-regime-2026-05-10 — recovery V w Branch D LIGO-regime context
op-L01-N5-EW-gauge-anomaly-2026-05-11	closed	2026-05-11	FINAL	STRUCTURAL_DERIVATION_CYCLE_EW_GAUGE_ANOMALY	op-L01-N5-EW-gauge-anomaly — Yang-Mills SU(2)×U(1) trace anomaly w g_eff[{Φ_i}] + EW gauge cosmology + Q2 F1 …
op-LIGO-3G-native-phase-residual-2026-05-11	closed	2026-05-11	Phase 6	CLOSED 2026-05-12 (full cycle: activation → 5 phases → amendment → 3 audit iter → closure)	Native Δφ(f) phase residual forecast dla 3G detectors — Phase 5 retrofit exemplar
op-S07-reset-alternative-f-psi-2026-05-11	closed	2026-05-11	FINAL	CLOSED 2026-05-13 sesja P-FINAL per user authorization 'Opcja A (recommended): Phase FINAL closure …	op-S07-reset-alternative-f-psi — alternative f(ψ) metric structures post M9.1'' GWTC-3 5.02σ rejection [CLOSE…
op-inflation-substrate-genesis-2026-05-11	closed	2026-05-11	FINAL	CLOSED 2026-05-13 sesja P3-inflation per user authorization 'Opcja A' (Phase 3 + FINAL combined); c…	op-inflation-substrate-genesis — Φ_eq(t) inflation prehistory + reheating + BBN initial conditions w TGP fram…
op-S07-Phase-3-BH5-eps1-numerical-2026-05-14	closed	2026-05-14	FINAL	2026-05-14 sesja P3-FINAL: active → closed-resolved per Phase FINAL closure ceremony Opcja A heroic…	S07 Phase 3 BH5/ε.1 numerical — pre-observational f(ψ) family discrimination via QNM ringdown + photon ring o…
op-L08-Phase6-Dirac-precision-Wilson-coefs-2026-05-16	closed	2026-05-16	FINAL	A-	op-L08-Phase6-Dirac-precision-Wilson-coefs — Wilson coefs Φ-dependent corrections + a_e lab-scale estimate
op-L08-Phase6-Dirac-propagator-2026-05-16	closed	2026-05-16	FINAL	A-	op-L08-Phase6-Dirac-propagator — Emergent Dirac propagator z FR antisym + Clifford + L05 m_obs
op-nucleation-dimensionality-2026-06-13	closed	2026-06-13	FINAL	C (STRUCTURAL_VERIFIED)	op-nucleation-dimensionality — czy maszyneria TGP (nukleacja + topologia defektów S05/Z₂/U(1)/RP² + stabilnoś…
op-amplitude-density-global-audit-2026-06-16	closed	2026-06-16	FINAL	INCONSISTENT-LABELING	op-amplitude-density-global-audit
op-CG4-substrate-closure-2026-06-20	closed	2026-06-20	FINAL		op-CG4-substrate-closure — domknięcie residuum CG-4: niepatologiczny model substratu dla scheme-independent C…
op-sigma-ab-pole-residue-2026-06-20	closed	2026-06-20	FINAL		op-sigma-ab-pole-residue — czy framework dostarcza warunek pole-residue ustalający C_σ (κ_E) jako predykcję? …
op-alpha2-status-propagation-audit-2026-06-22	closed	2026-06-22	FINAL		op-alpha2-status-propagation-audit — audyt spójności propagacji statusu α=2 = selekcja na gęstości (po
op-c0-derivation-from-substrate-2026-06-22	closed	2026-06-22	FINAL		op-c0-derivation-from-substrate (2026-06-22,
op-sigma-status-propagation-audit-2026-06-20	closed	2026-06-22	FINAL		op-sigma-status-propagation-audit — audyt spójności propagacji statusu κ_E = wolny parametr (po
op-CG-alpha-eff-convergence-2026-06-26	closed	2026-06-26	FINAL	CLOSED 2026-06-26: (B) REFUTED-SUBSTRATE. Faza A LOCK + Phase 1 FSS + FINAL w 1 sesji — patrz Phase…	op-CG-alpha-eff-convergence — czy α_eff blokowo-uśrednionego substratu zbiega do 2 (continuum/FSS), czy obstr…
op-Kgeo-from-D-uniqueness-2026-06-26	closed	2026-06-26	FINAL	CLOSED 2026-06-26: (C) POSTULATE-CONFIRMED (9/9). Phase 0 LOCK + Phase 1 + FINAL w 1 sesji — patrz …	op-Kgeo-from-D-uniqueness — czy K_geo·m_sp²=π·Φ₀² jest derywowalne z poziomu-0 (D-uniqueness + geometria rury…
op-CG-Kij-from-Hgamma-2026-06-27	closed	2026-06-27	FINAL	CLOSED 2026-06-27: F-CGK-D = NON-DERIVABLE (patrz Phase_FINAL_close.md)	op-CG-Kij-from-Hgamma: czy kwartyczne sprzezenie geometryczne K_ij=J(phi_i phi_j)^2 (zrodlo alpha=2) wyprowad…
op-bare-substrate-genesis-2026-07-04	closed	2026-07-04	FINAL	PASS (G1-G6)	op-bare-substrate-genesis — geneza samopodtrzymujacych struktur z golego substratu
op-goldstone-mediator-2026-07-04	closed	2026-07-04	FINAL	PASS (G1-G4, G6); G5: LADUNKOWY — mediator bezmasowy 2D-Newton istnieje, sprzezenie ~ Phi*, ale nie…	op-goldstone-mediator — bezmasowy mediator U(1)/Goldstone (most do grawitacji, galaz B1)
op-lock-interaction-gravity-2026-07-04	closed	2026-07-04	FINAL	PASS (G1-G4, G6); G5: FRONTOWE -> GALAZ B (Yukawa, nie-grawitacja)	op-lock-interaction-gravity — oddzialywanie zlockowanych obiektow (most do grawitacji, krok 1)
op-nbody-additivity-2026-07-04	closed	2026-07-04	FINAL	PASS (G1-G4); G5: LOKALNY — superpozycja parowa poparta, zalamanie przewidywalne (Fermat)	op-nbody-additivity — addytywnosc parowa oddzialywania lockow (test superpozycji dla rdzenia)
op-phi-metric-refraction-2026-07-04	closed	2026-07-04	FINAL	G1-G2 PASS; G3/G4/G6 NIEAPLIKOWALNE (tachion sciany tla zamrozonego, pre-rejestrowany w D6 i zmierz…	op-phi-metric-refraction — Phi jako metryka efektywna propagacji (most do grawitacji, galaz B2)
op-asymmetric-lattice-2026-07-05	closed	2026-07-05	FINAL		op-asymmetric-lattice (B2-prime, proba
op-lattice-background-2026-07-05	closed	2026-07-05	FINAL	G2 BRAMKA PASS (tlo zyje: 0.0000 przemieszczenia przez tau=400); G3 PASS (1.21%); G4 PASS (9/9 runo…	op-lattice-background (B2-prime, proba
op-scalar-sector-phistar-2026-07-05	closed	2026-07-05	FINAL	G1-G2 PASS; G3 FAIL -> STOP (wg LOCKa); kanal dylatacyjny NIEROZSTRZYGNIETY — procedura statyczna S…	op-scalar-sector-phistar — kanal dylatacyjny na tle Phi* (most do grawitacji, galaz C)
op-shortwave-lattice-2026-07-05	closed	2026-07-05	FINAL	G1-G6 WSZYSTKIE PASS; G5 6/6 -> P1 ROZSTRZYGNIETE POZYTYWNIE (lacznie z 5/6 proby	op-shortwave-lattice (B2-prime, proba
op-stationary-background-2026-07-05	closed	2026-07-05	FINAL	STOP wg reguly (G3 strukturalne FAIL), ALE: tachion B2 wyjasniony (wlasnosc sciany, nie sektora); s…	op-stationary-background — tlo stacjonarne dla sektora falowego: babel vs wir
op-vortex-refraction-2026-07-05	closed	2026-07-05	FINAL	G2 PASS; G3 FAIL strukturalne (tlo — para wirow — anihiluje pod dynamika II rzedu przy tau=107.5, w…	op-vortex-refraction (B2-prime) — ilosciowa refrakcja fal na defekcie: most geometryczny wokol materii-defekt…
op-oblique-beam-2026-07-12	closed	2026-07-12	FINAL	KANAL CYRKULACYJNY ZMIERZONY (G5b FAIL 3/4 par, regula wzmacniajaca wariant (i), G6a PASS); P2 w br…	op-oblique-beam (B2-prime, proba
op-3d-canonical-lattice-2026-08-31	closed	2026-08-31	FINAL		op-3d-canonical-lattice — CLOSED: Q-FAIL — sieć sc solitonów kanonicznych μ istnieje tylko przy d=2π i jest t…
op-3d-lattice-bath-stability-2026-08-31	closed	2026-08-31	FINAL		op-3d-lattice-bath-stability — RACHUNEK CENTRALNY w 3D: czy sieć solitonów o skończonej gęstości stabilizuje …
op-bloch-chain-stability-2026-08-31	closed	2026-08-31	FINAL		op-bloch-chain-stability — następca Q1: samouzgodniony łańcuch periodyczny + Bloch w sektorze tachionowym (ω²…
op-symplectic-Jspectrum-2026-08-31	closed	2026-08-31	FINAL	Q-FAIL (PRIMARY; wszystkie 4 tła: Re λ = +0.1396…+0.1434 zbieżnie ≫ tol; próżnia symplektyczna nies…	op-symplectic-Jspectrum — mini-cykl: klasa dynamiki substratu a znak W (spektrum JL̂ na tłach łańcucha)
op-metametric-boundary-2026-09-01	closed	2026-09-01	FINAL	Q1-POS (μ(sol|próżnia)=−0.179<0, ε(2π)=−5.2e−4<0 vs ΔE(sol|pusty)=+16157>0 — znaki mieszane, próżni…	op-metametric-boundary — granica metametryczna (zerokosztowa kreacja) jako właściwy punkt odniesienia stabiln…
op-dynamics-class-M911-2026-09-02	closed	2026-09-02	FINAL	Phase 1 PASS komplet; Q-CONS-FAIL (dyfuzja 6/6 do jednorodnej średniej, ~2–3× wolniej — zachowanie …	op-dynamics-class-M911 — klasa dynamiki pary metrycznej: zachowanie substratu (Cahn–Hilliard) i bezwładność z…
op-metric-closure-relaxation-2026-09-02	closed	2026-09-02	FINAL		op-metric-closure-relaxation — relaksacja z obustronnym domknięciem: podłoga QB-2 + granica metryczna ψ=4/3 (…
op-metric-pair-M911-2026-09-02	closed	2026-09-02	FINAL	Q-A-PASS (sektor samodomknięty: minimum ψ*=1, ρ″=1>0, granica 4/3 pod górkę, E≥−|Ω|/12 bez podłóg/b…	op-metric-pair-M911 — właściwa para metryczna (w, V_M9.1''): krajobraz sektora grawitacyjnego + relaksacja/ge…
op-premetric-pocket-level0-2026-09-02	closed	2026-09-02	FINAL	P1 PASS (po korekcie 1 pomiaru); Q-PKT-A-HEAL-ALL (τ_close≈4.63·R, front v≈0.216); Q-PKT-B-ZANIK (τ…	op-premetric-pocket-level0 — fizyka kieszeni przedmetrycznej ψ→0 na poziomie 0 (N1 po op-dynamics-class-M911)…
op-z2-wall-network-2026-09-02	closed	2026-09-02	FINAL	P1 PASS (po korekcie 1 komparatora GRF); Q-NET-A-PASS-MOSAIC (10/10 genez lockuje w mozaikę obu zna…	op-z2-wall-network — sieć ścian Z2 z genezy wielodomenowej: mozaika domen ±s*, prawo grubienia, konfiguracje …
op-action-audit-spectrum-insert-2026-09-13	closed	2026-09-13	FINAL		README — op-action-audit-spectrum-insert: audyt jednej akcji (kanonika + dyspersja) i ΔE_insert we właściwej …
op-r3-stationary-states-2026-09-14	closed	2026-09-14	FINAL	Q-E-INCONCLUSIVE (0×OSCILLON, 2×RADIATED zbieżnie, 6×BREAKDOWN-BOUNDARY zbieżnie — w tym oba starty…	README — op-r3-stationary-states: czy sukcesy R3 mają nośnik w gałęzi zdrowej (|g^tt|) jako stany stacjonarne…
_archive	legacy	2026-05-03			_archive — archiwum obsoletnych ścieżek badawczych
_sandbox	legacy	2026-05-03			_sandbox — piaskownica dla agentów (NIE część teorii)
atom_from_soliton	legacy	2026-05-03			atom_from_soliton
atomic_shells_closure	legacy	2026-05-03			atomic_shells_closure
brannen_sqrt2	legacy	2026-05-03			R6: B=√2 analitycznie z ODE solitonowego
cabibbo_correction	legacy	2026-05-03			R1: Korekcja Cabibbo — odejmowanie self-energii Z₃
casimir_mof	legacy	2026-05-03			casimir_mof
closure_2026-04-26	legacy	2026-05-03			closure_2026-04-26
cohesion_closure	legacy	2026-05-03			cohesion_closure
continuum_limit	legacy	2026-05-03			R2: Ciągłe przejście substrat → pole (CG-1/3/4)
cosmo_tensions	legacy	2026-05-03			Kosmologiczne napięcia jako jednorodny efekt substratu TGP
desi_dark_energy	legacy	2026-05-03			DESI w(z) Phantom-Crossing Falsification — Program P2 (TGP Redirect)
em_from_substrate	legacy	2026-05-03			em_from_substrate
external_review_2026-04-25	legacy	2026-05-03			external_review_2026-04-25
galaxy_scaling	legacy	2026-05-03			Galaxy Scaling — galaktyka jako płaska studnia potencjału
hubble_tension	legacy	2026-05-03			Hubble Tension w kontekście TGP
liquid_viscosity	legacy	2026-05-03			liquid_viscosity
mass_scaling_k4	legacy	2026-05-03			R5: Prawo skalowania m ∝ A_tail⁴
metric_ansatz	legacy	2026-05-03			R4: Ansatz metryczny h(Φ)=Φ z pierwszych zasad
muon_g_minus_2	legacy	2026-05-03			muon_g_minus_2
nbody	legacy	2026-05-03			TGP N-body package
neutrino_msw	legacy	2026-05-03			neutrino_msw
op-alpha-fine-structure	legacy	2026-05-03	Phase 3		op-alpha-fine-structure
op-bh-alpha-threshold	legacy	2026-05-03	Phase 3		op-bh-alpha-threshold
op-chi1-newton-constant-derivation	legacy	2026-05-03	Phase 3		op-chi1-newton-constant-derivation
op-cosmology-closure	legacy	2026-05-03			op-cosmology-closure
op-cross-sector-charge	legacy	2026-05-03	Phase 3		op-cross-sector-charge
op-eht	legacy	2026-05-03			op-eht
op-eht-A	legacy	2026-05-03			op-eht-A
op-eps-photon-ring	legacy	2026-05-03	Phase 3		op-eps-photon-ring
op-eta-wolfenstein	legacy	2026-05-03	Phase 3		op-eta-wolfenstein
op-eta2-denom-derivation	legacy	2026-05-03	Phase 3		op-eta2-denom-derivation
op-iota-charge-pmns-unification	legacy	2026-05-03	Phase 3		op-iota-charge-pmns-unification
op-kappa-mixing-numerator	legacy	2026-05-03	Phase 3		op-kappa-mixing-numerator
op-m92	legacy	2026-05-03			op-m92
op-mu-pmns-phase-hardening	legacy	2026-05-03	Phase 3		op-mu-pmns-phase-hardening
op-newton-momentum	legacy	2026-05-03			op-newton-momentum
op-nu-majorana-phase-mbb	legacy	2026-05-03	Phase 3		op-nu-majorana-phase-mbb
op-omega1-substrate-em-coupling	legacy	2026-05-03	Phase 3		op-omega1-substrate-em-coupling
op-omega2-axion-coupling-lock	legacy	2026-05-03	Phase 3		op-omega2-axion-coupling-lock
op-omega3-axion-decay-constant	legacy	2026-05-03	Phase 3		op-omega3-axion-decay-constant
op-omicron1-sigmamnu-cosmo	legacy	2026-05-03	Phase 3		op-omicron1-sigmamnu-cosmo
op-phase1-covariant	legacy	2026-05-03	Phase 1		op-phase1-covariant
op-phase2-quantum-gravity	legacy	2026-05-03	Phase 2		op-phase2-quantum-gravity
op-phase3-uv-completion	legacy	2026-05-03	Phase 3		op-phase3-uv-completion
op-phi1-substrate-action-variational	legacy	2026-05-03	Phase 3		op-phi1-substrate-action-variational
op-pi1-bb0nu-nme-isotope	legacy	2026-05-03	Phase 3		op-pi1-bb0nu-nme-isotope
op-psi1-substrate-light-acceleration	legacy	2026-05-03	Phase 7		op-psi1-substrate-light-acceleration
op-quantum-closure	legacy	2026-05-03			op-quantum-closure
op-rho1-71Ge-cross-section	legacy	2026-05-03	Phase 3		op-rho1-71Ge-cross-section
op-sc-alpha-origin	legacy	2026-05-03	Phase 3		op-sc-alpha-origin
op-sigma1-substrate-light-dispersion	legacy	2026-05-03	Phase 3		op-sigma1-substrate-light-dispersion
op-tau1-closure-overlap-coulomb	legacy	2026-05-03	Phase 3		op-tau1-closure-overlap-coulomb
op-tau2-substrate-time-coupling	legacy	2026-05-03	Phase 3		op-tau2-substrate-time-coupling
op-tau3-substrate-clock-acceleration	legacy	2026-05-03	Phase 4		op-tau3-substrate-clock-acceleration
op-theta-quark-koide	legacy	2026-05-03	Phase 3		op-theta-quark-koide
op-upsilon1-closure-cross-family	legacy	2026-05-03	Phase 3		op-upsilon1-closure-cross-family
op-uv-as-ngfp	legacy	2026-05-03	Phase 3		op-uv-as-ngfp
op-uv2-mtgp-absolute-scale	legacy	2026-05-03	Phase 3		op-uv2-mtgp-absolute-scale
op-xi-photon-ring	legacy	2026-05-03	Phase 3		op-xi-photon-ring
op-xi2-sterile-nu-5sector	legacy	2026-05-03	Phase 3		op-xi2-sterile-nu-5sector
op-zeta-mass-spectrum	legacy	2026-05-03	Phase 3		op-zeta-mass-spectrum
op1-op2-op4	legacy	2026-05-03			OP-1 / OP-2 / OP-4 — derivation of the self-interference potential U(φ)
op6	legacy	2026-05-03			OP-6 rework — rigorous continuum limit of H_Γ
op7	legacy	2026-05-03			op7
particle_sector_closure	legacy	2026-05-03			Program P4 — Particle Sector Closure
qm_born_rule	legacy	2026-05-03			Born Rule from Soliton Tail Interference
qm_decoherence	legacy	2026-05-03			Q7: Dekoherencja z dynamiki pola TGP
qm_entanglement	legacy	2026-05-03			Q4: Splatanie z korelacji substratu
qm_foundations	legacy	2026-05-03			Q0: Emergentna Mechanika Kwantowa z TGP -- Architektura
qm_measurement	legacy	2026-05-03			Q1: Niepewnosc pomiarowa z samozwrotnosci Phi
qm_spin	legacy	2026-05-03			Q5: Spin 1/2 z topologii solitonu
qm_statistics	legacy	2026-05-03			Q6: Statystyka czastek z topologii solitonow
qm_superposition	legacy	2026-05-03			Q3: Superpozycja z liniowosci slabego pola
rho_normal_state_closure	legacy	2026-05-03			rho_normal_state_closure
s8_tension	legacy	2026-05-03			S₈ Tension w kontekście TGP
superconductivity_closure	legacy	2026-05-03			Program P5 — Superconductivity Closure
thermal_transport_molecular	legacy	2026-05-03			thermal_transport_molecular
uv_completion	legacy	2026-05-03			R7: UV Completion — unifikacja sprzężeń przy M_Pl
why_n3	legacy	2026-05-03			R3: Dlaczego N=3 generacji? (T-OP3)
exploration_neutrino_g0_2026-05-16	?				
op-amplitude-density-phase-bridge-2026-06-27	?		Phase 1		
op-ep-scattering-babyskyrmion-2026-07-28	?				
